model,sample_id,layer,mask_condition,position_group,target_effect,wrong_effect,target_minus_wrong_effect,rank_effect,clean_target_rank,mask_target_rank,position_count
qwen,okvqa_val_258605,15,union_mask,top_hidden_delta,-0.375,0.0,-0.375,2.0,5.0,45.0,32.0
qwen,okvqa_val_258605,15,union_mask,visual+answer,2.625,1.25,1.375,35.0,5.0,45.0,397.0
qwen,okvqa_val_258605,17,union_mask,visual_span,1.6875,1.75,-0.0625,24.0,5.0,45.0,393.0
qwen,okvqa_val_258605,17,union_mask,answer_adjacent,0.8125,-0.75,1.5625,32.0,5.0,45.0,4.0
qwen,okvqa_val_258605,17,union_mask,top_hidden_delta,-0.125,0.125,-0.25,3.0,5.0,45.0,32.0
qwen,okvqa_val_258605,17,union_mask,visual+answer,2.9375,1.5,1.4375,37.0,5.0,45.0,397.0
qwen,okvqa_val_258605,13,shifted_mask,visual_span,3.5,4.0625,-0.5625,22.0,5.0,37.0,393.0
qwen,okvqa_val_258605,13,shifted_mask,answer_adjacent,0.625,-0.125,0.75,14.0,5.0,37.0,4.0
qwen,okvqa_val_258605,13,shifted_mask,top_hidden_delta,0.1875,0.4375,-0.25,7.0,5.0,37.0,32.0
qwen,okvqa_val_258605,13,shifted_mask,visual+answer,4.1875,3.8125,0.375,28.0,5.0,37.0,397.0
qwen,okvqa_val_258605,15,shifted_mask,visual_span,3.0625,4.1875,-1.125,21.0,5.0,37.0,393.0
qwen,okvqa_val_258605,15,shifted_mask,answer_adjacent,0.8125,-0.4375,1.25,18.0,5.0,37.0,4.0
qwen,okvqa_val_258605,15,shifted_mask,top_hidden_delta,0.25,0.4375,-0.1875,2.0,5.0,37.0,32.0
qwen,okvqa_val_258605,15,shifted_mask,visual+answer,3.4375,3.0625,0.375,29.0,5.0,37.0,397.0
qwen,okvqa_val_258605,17,shifted_mask,visual_span,2.375,3.1875,-0.8125,12.0,5.0,37.0,393.0
qwen,okvqa_val_258605,17,shifted_mask,answer_adjacent,1.0,-0.4375,1.4375,18.0,5.0,37.0,4.0
qwen,okvqa_val_258605,17,shifted_mask,top_hidden_delta,0.6875,0.9375,-0.25,3.0,5.0,37.0,32.0
qwen,okvqa_val_258605,17,shifted_mask,visual+answer,3.125,2.3125,0.8125,29.0,5.0,37.0,397.0
qwen,okvqa_val_258605,13,shuffled_mask,visual_span,0.1875,0.375,-0.1875,0.0,5.0,9.0,393.0
qwen,okvqa_val_258605,13,shuffled_mask,answer_adjacent,0.625,-0.375,1.0,4.0,5.0,9.0,4.0
qwen,okvqa_val_258605,13,shuffled_mask,top_hidden_delta,0.125,0.375,-0.25,1.0,5.0,9.0,32.0
qwen,okvqa_val_258605,13,shuffled_mask,visual+answer,0.6875,-0.125,0.8125,4.0,5.0,9.0,397.0
qwen,okvqa_val_258605,15,shuffled_mask,visual_span,0.1875,0.75,-0.5625,-2.0,5.0,9.0,393.0
qwen,okvqa_val_258605,15,shuffled_mask,answer_adjacent,0.6875,-0.625,1.3125,5.0,5.0,9.0,4.0
qwen,okvqa_val_258605,15,shuffled_mask,top_hidden_delta,0.25,0.25,0.0,1.0,5.0,9.0,32.0
qwen,okvqa_val_258605,15,shuffled_mask,visual+answer,0.625,-0.375,1.0,5.0,5.0,9.0,397.0
qwen,okvqa_val_258605,17,shuffled_mask,visual_span,0.375,0.75,-0.375,0.0,5.0,9.0,393.0
qwen,okvqa_val_258605,17,shuffled_mask,answer_adjacent,0.0625,-1.25,1.3125,4.0,5.0,9.0,4.0
qwen,okvqa_val_258605,17,shuffled_mask,top_hidden_delta,-0.4375,-0.375,-0.0625,0.0,5.0,9.0,32.0
qwen,okvqa_val_258605,17,shuffled_mask,visual+answer,1.0625,-0.125,1.1875,5.0,5.0,9.0,397.0
qwen,okvqa_val_00893,13,answer_mask,visual_span,1.6875,5.4375,-3.75,99.0,5.0,126.0,347.0
qwen,okvqa_val_00893,13,answer_mask,answer_adjacent,0.5625,-0.375,0.9375,37.0,5.0,126.0,4.0
qwen,okvqa_val_00893,13,answer_mask,top_hidden_delta,-1.5625,6.0625,-7.625,-6.0,5.0,126.0,32.0
qwen,okvqa_val_00893,13,answer_mask,visual+answer,2.5,5.8125,-3.3125,101.0,5.0,126.0,351.0
qwen,okvqa_val_00893,15,answer_mask,visual_span,4.6875,6.4375,-1.75,109.0,5.0,126.0,347.0
qwen,okvqa_val_00893,15,answer_mask,answer_adjacent,0.375,-0.9375,1.3125,57.0,5.0,126.0,4.0
qwen,okvqa_val_00893,15,answer_mask,top_hidden_delta,0.75,5.9375,-5.1875,42.0,5.0,126.0,32.0
qwen,okvqa_val_00893,15,answer_mask,visual+answer,2.0,5.6875,-3.6875,102.0,5.0,126.0,351.0
qwen,okvqa_val_00893,17,answer_mask,visual_span,4.0625,6.4375,-2.375,105.0,5.0,126.0,347.0
qwen,okvqa_val_00893,17,answer_mask,answer_adjacent,-0.25,-2.125,1.875,70.0,5.0,126.0,4.0
qwen,okvqa_val_00893,17,answer_mask,top_hidden_delta,0.875,3.3125,-2.4375,51.0,5.0,126.0,32.0
qwen,okvqa_val_00893,17,answer_mask,visual+answer,2.4375,6.5625,-4.125,104.0,5.0,126.0,351.0
qwen,okvqa_val_00893,13,union_mask,visual_span,1.6875,5.4375,-3.75,99.0,5.0,126.0,347.0
qwen,okvqa_val_00893,13,union_mask,answer_adjacent,0.5625,-0.375,0.9375,37.0,5.0,126.0,4.0
qwen,okvqa_val_00893,13,union_mask,top_hidden_delta,-1.5625,6.0625,-7.625,-6.0,5.0,126.0,32.0
qwen,okvqa_val_00893,13,union_mask,visual+answer,2.5,5.8125,-3.3125,101.0,5.0,126.0,351.0
qwen,okvqa_val_00893,15,union_mask,visual_span,4.6875,6.4375,-1.75,109.0,5.0,126.0,347.0
qwen,okvqa_val_00893,15,union_mask,answer_adjacent,0.375,-0.9375,1.3125,57.0,5.0,126.0,4.0
qwen,okvqa_val_00893,15,union_mask,top_hidden_delta,0.75,5.9375,-5.1875,42.0,5.0,126.0,32.0
qwen,okvqa_val_00893,15,union_mask,visual+answer,2.0,5.6875,-3.6875,102.0,5.0,126.0,351.0
qwen,okvqa_val_00893,17,union_mask,visual_span,4.0625,6.4375,-2.375,105.0,5.0,126.0,347.0
qwen,okvqa_val_00893,17,union_mask,answer_adjacent,-0.25,-2.125,1.875,70.0,5.0,126.0,4.0
qwen,okvqa_val_00893,17,union_mask,top_hidden_delta,0.875,3.3125,-2.4375,51.0,5.0,126.0,32.0
qwen,okvqa_val_00893,17,union_mask,visual+answer,2.4375,6.5625,-4.125,104.0,5.0,126.0,351.0
qwen,okvqa_val_00893,13,shifted_mask,visual_span,1.5,6.5,-5.0,170.0,5.0,207.0,347.0
qwen,okvqa_val_00893,13,shifted_mask,answer_adjacent,0.8125,0.4375,0.375,68.0,5.0,207.0,4.0
qwen,okvqa_val_00893,13,shifted_mask,top_hidden_delta,-1.0625,6.375,-7.4375,-22.0,5.0,207.0,32.0
qwen,okvqa_val_00893,13,shifted_mask,visual+answer,2.375,6.625,-4.25,174.0,5.0,207.0,351.0
qwen,okvqa_val_00893,15,shifted_mask,visual_span,4.125,6.625,-2.5,185.0,5.0,207.0,347.0
qwen,okvqa_val_00893,15,shifted_mask,answer_adjacent,0.21875,-0.4375,0.65625,62.0,5.0,207.0,4.0
qwen,okvqa_val_00893,15,shifted_mask,top_hidden_delta,0.53125,4.375,-3.84375,78.0,5.0,207.0,32.0
qwen,okvqa_val_00893,15,shifted_mask,visual+answer,1.75,6.875,-5.125,170.0,5.0,207.0,351.0
qwen,okvqa_val_00893,17,shifted_mask,visual_span,3.3125,6.25,-2.9375,184.0,5.0,207.0,347.0
qwen,okvqa_val_00893,17,shifted_mask,answer_adjacent,-0.375,-1.875,1.5,107.0,5.0,207.0,4.0
qwen,okvqa_val_00893,17,shifted_mask,top_hidden_delta,-0.1875,4.25,-4.4375,21.0,5.0,207.0,32.0
qwen,okvqa_val_00893,17,shifted_mask,visual+answer,2.3125,7.125,-4.8125,179.0,5.0,207.0,351.0
qwen,okvqa_val_00893,13,shuffled_mask,visual_span,-0.875,6.9375,-7.8125,-4.0,5.0,4.0,347.0
qwen,okvqa_val_00893,13,shuffled_mask,answer_adjacent,-0.75,-0.5,-0.25,0.0,5.0,4.0,4.0
qwen,okvqa_val_00893,13,shuffled_mask,top_hidden_delta,-1.8125,7.6875,-9.5,-9.0,5.0,4.0,32.0
qwen,okvqa_val_00893,13,shuffled_mask,visual+answer,-1.5625,7.0625,-8.625,-5.0,5.0,4.0,351.0
qwen,okvqa_val_00893,15,shuffled_mask,visual_span,0.4375,6.0625,-5.625,-1.0,5.0,4.0,347.0
qwen,okvqa_val_00893,15,shuffled_mask,answer_adjacent,-1.625,0.5,-2.125,-4.0,5.0,4.0,4.0
qwen,okvqa_val_00893,15,shuffled_mask,top_hidden_delta,0.5625,6.1875,-5.625,-2.0,5.0,4.0,32.0
qwen,okvqa_val_00893,15,shuffled_mask,visual+answer,-2.1875,7.9375,-10.125,-8.0,5.0,4.0,351.0
qwen,okvqa_val_00893,17,shuffled_mask,visual_span,0.5,6.0625,-5.5625,-1.0,5.0,4.0,347.0
qwen,okvqa_val_00893,17,shuffled_mask,answer_adjacent,-2.3125,-0.625,-1.6875,-5.0,5.0,4.0,4.0
qwen,okvqa_val_00893,17,shuffled_mask,top_hidden_delta,0.0625,7.1875,-7.125,-2.0,5.0,4.0,32.0
qwen,okvqa_val_00893,17,shuffled_mask,visual+answer,-1.625,6.8125,-8.4375,-5.0,5.0,4.0,351.0
