model,lens,stage1_label,sample_id,layer,candidate_id,source_pos,source_feature_id,target_effect,rank_effect,score,clean_source_minus_controls,real_source_effect,real_minus_shifted,real_minus_shuffled,real_target_minus_wrong,status,clean_target_rank,mask_condition,position_group,target_minus_wrong,top_k,wrong_effect
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,1.9375,6590.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,5.125,7572.0,,,,,,,ok,,answer_mask,visual_span,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,0.125,24.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,10.5,9105.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,4.875,7521.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,5.125,7572.0,,,,,,,ok,,union_mask,visual_span,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,0.125,24.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,10.5,9105.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,4.875,7521.0,,,,,,,ok,,union_mask,visual+answer,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,3.75,2409.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,-0.0625,-154.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,1.5625,1717.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,3.6875,2390.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,-2.0625,-647.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,-0.3125,-94.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,0.6875,476.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
gemma,hidden_restore,multi_evidence_supported,okvqa_val_1295955,1,,,,-2.125,-673.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,2.25,319.0,,,,,,,ok,,answer_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,-0.5,-190.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,1.375,28.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,2.375,340.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,2.25,319.0,,,,,,,ok,,union_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,-0.5,-190.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,1.375,28.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,2.375,340.0,,,,,,,ok,,union_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,5.6875,2245.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,0.125,107.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,5.6875,2181.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,5.4375,2198.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,2.25,639.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,-0.25,-82.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,1.125,380.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_258605,1,,,,1.875,598.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,3.375,315.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,-0.1875,70.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,2.1875,295.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,3.75,328.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,3.8125,329.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,-0.84375,99.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,1.1875,235.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,3.25,337.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,3.5,320.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.0,179.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.125,167.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,3.75,335.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,3.375,315.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,-0.1875,70.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,2.1875,295.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,3.75,328.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,3.8125,329.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,-0.84375,99.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,1.1875,235.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,3.25,337.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,3.5,320.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.0,179.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.125,167.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,3.75,335.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,1.75,-2.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,1.0625,6.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,-0.0625,-9.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,1.375,9.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,2.25,9.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,0.875,3.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,0.5,-7.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,2.4375,12.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,1.875,8.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.5,6.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.0625,-7.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,1.4375,10.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,1.8125,-2.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,0.125,4.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,0.9375,-1.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,13,,,,1.4375,4.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,1.3125,-3.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,0.5,5.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,0.1875,-5.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,15,,,,1.9375,4.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.875,-2.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.75,8.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,0.5625,-3.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00310,17,,,,1.4375,4.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,1.6875,99.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,0.5625,37.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-1.5625,-6.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,2.5,101.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,4.6875,109.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.375,57.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.75,42.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,2.0,102.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,4.0625,105.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-0.25,70.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,0.875,51.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,2.4375,104.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,1.6875,99.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,0.5625,37.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-1.5625,-6.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,2.5,101.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,4.6875,109.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.375,57.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.75,42.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,2.0,102.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,4.0625,105.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-0.25,70.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,0.875,51.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,2.4375,104.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,1.5,170.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,0.8125,68.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-1.0625,-22.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,2.375,174.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,4.125,185.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.21875,62.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.53125,78.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,1.75,170.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,3.3125,184.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-0.375,107.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-0.1875,21.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,2.3125,179.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-0.875,-4.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-0.75,0.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-1.8125,-9.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,13,,,,-1.5625,-5.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.4375,-1.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,-1.625,-4.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,0.5625,-2.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,15,,,,-2.1875,-8.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,0.5,-1.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-2.3125,-5.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,0.0625,-2.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
qwen,hidden_restore,multi_evidence_supported,okvqa_val_00893,17,,,,-1.625,-5.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-2.1875,-5.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-1.0,-6.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-2.0625,-7.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-3.03125,-13.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-2.65625,-10.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-1.125,-5.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-1.5625,-5.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-3.96875,-30.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-2.90625,-14.0,,,,,,,ok,,answer_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-0.5,-2.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-1.25,-2.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-3.0625,-9.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-2.1875,-5.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-1.0,-6.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-2.0625,-7.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-3.03125,-13.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-2.65625,-10.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-1.125,-5.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-1.5625,-5.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,15,,,,-3.96875,-30.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-2.90625,-14.0,,,,,,,ok,,union_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-0.5,-2.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-1.25,-2.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,17,,,,-3.0625,-9.0,,,,,,,ok,,union_mask,visual+answer,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-0.8125,-1.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-0.875,-3.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
qwen,hidden_restore,one_region_dominated,okvqa_val_02108,13,,,,-0.0625,0.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
